osvdbTitle,IP,status,lastSeenDate,ports,assetId,firstSeenDate,vulnId,formattedRisk
Python HTTP_PROXY environment variable HTTP traffic redirect,10.506.35.133,opened,2018-09-29 20:45:04.0,,,2017-09-09 09:47:35.0,174979,High
SNMP Responds to Any Community Name,10.506.35.143,opened,2018-09-29 09:18:30.0,161,,2017-01-08 07:17:06.0,95247,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.68,opened,2018-09-29 18:45:57.0,4421,443,5666,9000,,2017-01-08 05:31:15.0,140546,High
SNMP - Various Devices - Default Password - (Community Names),10.506.35.69,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95007,High
MS Windows NT  Insecure SNMP Community Name and Address Restrictions,10.506.35.71,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95219,High
SNMP Responds to Any Community Name,10.506.35.72,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,95247,High
Atmel - SNMP Community String Vulnerability,10.506.35.73,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,16755,High
SNMP Responds to Any Community Name,10.506.35.74,opened,2018-09-29 09:18:08.0,161,,2017-01-08 07:17:06.0,95247,High
SNMP Responds to Any Community Name,10.506.35.75,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95247,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.76,opened,2018-09-29 22:52:03.0,5989,,2018-05-19 23:38:29.0,140546,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.82,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,140546,High
Atmel - SNMP Community String Vulnerability,10.506.35.83,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,16755,High
CVE-1999-0517 - SNMP - Hardcoded Credentials Issue,10.506.35.84,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,97101,High
MS Windows NT  Insecure SNMP Community Name and Address Restrictions,10.506.35.85,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95219,High
CVE-1999-0517 - SNMP - Hardcoded Credentials Issue,10.506.35.86,opened,2018-09-29 09:06:24.0,161,,2018-08-25 09:05:24.0,97101,High
SNMP - Various Devices - Default Password - (Community Names),10.506.35.87,opened,2018-09-29 09:05:43.0,161,,2018-08-25 09:05:24.0,95007,High
CVE-2015-0412 - Oracle - Java SE - Unspecified Issue,10.506.35.133,opened,2018-09-29 09:20:35.0,443,,2017-01-08 07:24:35.0,140546,High
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.143,opened,2018-09-29 18:42:51.0,3389,,2017-01-07 17:35:35.0,8076,Medium
CVE-2012-2532 - MS12-073 - Microsoft - IIS - Information Disclosure Issue,10.506.35.68,opened,2018-09-29 18:42:51.0,21,,2017-01-07 17:35:35.0,88648,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.75,opened,2018-09-29 19:21:42.0,443,5989,,2017-01-21 14:13:43.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.76,opened,2018-09-29 19:21:42.0,443,5989,,2017-01-21 14:13:43.0,101808,Medium
CVE-2017-5753 - Multiple Vendors - Processors - Spectre Issue,10.506.35.82,opened,2018-09-29 22:09:19.0,,,2018-06-30 22:28:17.0,205998,Medium
CVE-2017-4940 - Vmware - Esxi - Medium,10.506.35.83,opened,2018-09-29 22:09:19.0,,,2018-06-30 22:28:17.0,205681,Medium
CVE-2017-5753 - Intel - Processors - Spectre Issue,10.506.35.84,opened,2018-09-29 22:09:19.0,,,2018-06-30 22:28:17.0,208998,Medium
CVE-2018-3646 - Microprocessors - Foreshadow-NG Attack Issue,10.506.35.85,opened,2018-09-29 22:09:19.0,,,2018-09-29 22:09:19.0,217985,Medium
CVE-2018-3615 - Microprocessors - Foreshadow Attack Issue,10.506.35.86,opened,2018-09-29 22:09:19.0,,,2018-09-29 22:09:19.0,218006,Medium
CVE-2018-3620 - Microprocessors - Foreshadow-NG Attack Issue,10.506.35.87,opened,2018-09-29 22:09:19.0,,,2018-09-29 22:09:19.0,217986,Medium
CVE-2017-4941 - VMware - Multiple Products - Stack Overflow Issue,10.506.35.133,opened,2018-09-29 22:09:19.0,,,2018-06-30 22:28:17.0,205682,Medium
CVE-2017-5715 - Intel - Processors - Spectre Issue,10.506.35.143,opened,2018-09-29 22:09:19.0,,,2018-06-30 22:28:17.0,206000,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.68,opened,2018-09-29 20:05:21.0,3389,,2017-01-07 18:35:36.0,8076,Medium
CVE-2018-1000169 - Jenkins - Jenkins - Medium,10.506.35.69,opened,2018-09-29 20:37:12.0,8080,,2018-06-30 21:09:01.0,210920,Medium
CVE-2018-1000068 - Jenkins - Jenkins - Medium,10.506.35.71,opened,2018-09-29 20:37:12.0,8080,,2018-06-30 21:09:01.0,208409,Medium
CVE-2018-6356 - Jenkins - Jenkins - Medium,10.506.35.72,opened,2018-09-29 20:37:12.0,8080,,2018-06-30 21:09:01.0,208395,Medium
Jenkins weekly and LTS denial of service,10.506.35.73,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,218109,Medium
Jenkins weekly and LTS denial of service,10.506.35.74,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,218110,Medium
CVE-2018-1999006 - Jenkins - Jenkins - Medium,10.506.35.75,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,216114,Medium
Jenkins weekly and LTS information disclosure,10.506.35.76,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,218108,Medium
CVE-2018-1999001 - Jenkins - Jenkins - Medium,10.506.35.82,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,216107,Medium
CVE-2018-1999004 - Jenkins - Jenkins - Medium,10.506.35.83,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,216112,Medium
CVE-2018-1999003 - Jenkins - Jenkins - Medium,10.506.35.84,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,216109,Medium
CVE-2018-1999002 - Jenkins - Jenkins - Medium,10.506.35.133,opened,2018-09-29 20:37:12.0,8080,,2018-09-29 20:37:12.0,216110,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.143,opened,2018-09-29 19:46:07.0,443,5989,,2017-01-21 15:03:41.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.68,opened,2018-09-29 19:46:07.0,443,5989,,2017-01-21 15:03:41.0,44305,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.69,opened,2018-09-29 19:46:07.0,443,5989,,2017-01-21 15:03:41.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.71,opened,2018-09-29 20:16:35.0,1433,3389,,2017-01-21 13:46:37.0,44305,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.72,opened,2018-09-29 20:16:35.0,3389,,2017-01-07 18:34:31.0,8076,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.73,opened,2018-09-29 20:16:35.0,1433,3389,,2017-01-21 13:46:37.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.74,opened,2018-09-29 20:16:35.0,1433,3389,,2017-01-21 13:46:37.0,100902,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.75,opened,2018-09-29 19:02:43.0,443,5989,,2017-01-21 14:00:10.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.76,opened,2018-09-29 19:02:43.0,443,5989,,2017-01-21 14:00:10.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.82,opened,2018-09-29 19:02:43.0,443,5989,,2017-01-21 14:00:10.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.83,opened,2018-09-29 19:24:13.0,443,5989,,2017-01-21 14:29:59.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.84,opened,2018-09-29 19:24:13.0,443,5989,,2017-01-21 14:29:59.0,44305,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.85,opened,2018-09-29 19:24:13.0,443,5989,,2017-01-21 14:29:59.0,100902,Medium
Microsoft Windows 2000 Terminal Services man-in-the-middle attack,10.506.35.86,opened,2018-09-29 18:23:26.0,1494,,2017-03-04 12:26:20.0,49946,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.87,opened,2018-09-29 18:35:35.0,443,5989,,2017-01-21 14:53:16.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.133,opened,2018-09-29 18:35:35.0,443,5989,,2017-01-21 14:53:16.0,44305,Medium
Websense Web Security and Web Filter Apache Tomcat information disclosure,10.506.35.143,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,34421,Medium
TLS Diffie-Hellman Key Exchange information disclosure,10.506.35.68,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,162603,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.69,opened,2018-09-29 20:13:54.0,3389,443,,2018-07-21 18:45:24.0,44305,Medium
CVE-2015-2808 - RC4 Algorithm - Bar Mitzvah Issue,10.506.35.71,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,161204,Medium
REJECTED - CVE-2015-4000 - TLS Protocol - Logjam Issue,10.506.35.72,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,162646,Medium
CVE-2014-3566 - TLS.SSLv3 Fallback - The POODLE attack,10.506.35.73,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,137475,Medium
CVE-2015-4000 - TLS Protocol - Logjam Issue,10.506.35.74,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,162644,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.75,opened,2018-09-29 20:13:54.0,3389,443,,2018-07-21 18:45:24.0,100902,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.76,opened,2018-09-29 20:13:54.0,3389,,2018-07-21 18:45:24.0,8076,Medium
CVE-2013-2566 - RC4 - Plaintext-Recovery Issue,10.506.35.82,opened,2018-09-29 20:13:54.0,5666,,2018-07-21 18:45:24.0,92441,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.83,opened,2018-09-29 20:13:54.0,3389,443,,2018-07-21 18:45:24.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.84,opened,2018-09-29 18:59:18.0,443,5989,,2017-01-21 14:56:26.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.133,opened,2018-09-29 18:59:18.0,443,5989,,2017-01-21 14:56:26.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.143,opened,2018-09-29 18:59:18.0,443,5989,,2017-01-21 14:56:26.0,44305,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.68,opened,2018-09-29 18:17:30.0,3389,,2017-01-07 18:00:06.0,8076,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.69,opened,2018-09-29 18:51:50.0,443,5989,,2017-01-21 14:30:21.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.71,opened,2018-09-29 18:51:50.0,443,5989,,2017-01-21 14:30:21.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.72,opened,2018-09-29 18:51:50.0,443,5989,,2017-01-21 14:30:21.0,101808,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.73,opened,2018-09-29 19:34:22.0,443,5989,,2017-01-21 14:35:18.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.74,opened,2018-09-29 19:34:22.0,443,5989,,2017-01-21 14:35:18.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.75,opened,2018-09-29 19:34:22.0,443,5989,,2017-01-21 14:35:18.0,44305,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.76,opened,2018-09-29 20:09:57.0,1433,3389,,2018-07-21 18:44:44.0,44305,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.82,opened,2018-09-29 20:09:57.0,1433,3389,,2018-07-21 18:44:44.0,100902,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.83,opened,2018-09-29 20:09:57.0,3389,,2018-07-21 18:44:44.0,8076,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.84,opened,2018-09-29 20:09:57.0,1433,3389,,2018-07-21 18:44:44.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.85,opened,2018-09-29 21:56:00.0,443,5989,,2017-01-21 15:28:45.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.86,opened,2018-09-29 21:56:00.0,443,5989,,2017-01-21 15:28:45.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.87,opened,2018-09-29 21:56:00.0,443,5989,,2017-01-21 15:28:45.0,100902,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.133,opened,2018-09-29 18:43:45.0,3389,,2017-01-08 05:26:02.0,8076,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.143,opened,2018-09-29 18:43:45.0,1433,3389,,2017-04-08 11:12:59.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.68,opened,2018-09-29 18:43:45.0,1433,3389,,2017-04-08 11:12:59.0,44305,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.69,opened,2018-09-29 18:26:09.0,3389,,2017-01-07 17:37:09.0,8076,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.71,opened,2018-09-29 19:54:37.0,443,5989,,2017-01-21 14:59:31.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.72,opened,2018-09-29 19:54:37.0,443,5989,,2017-01-21 14:59:31.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.73,opened,2018-09-29 19:54:37.0,443,5989,,2017-01-21 14:59:31.0,100902,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.74,opened,2018-09-29 18:20:53.0,3389,,2017-03-04 12:22:48.0,8076,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.75,opened,2018-09-29 18:20:53.0,1433,3389,,2017-03-04 12:22:48.0,44305,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.76,opened,2018-09-29 18:20:53.0,1433,3389,,2017-03-04 12:22:48.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.82,opened,2018-09-29 18:20:53.0,1433,3389,,2017-03-04 12:22:48.0,101808,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.83,opened,2018-09-29 18:42:31.0,3389,,2017-01-07 17:50:46.0,8076,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.84,opened,2018-09-29 21:50:10.0,443,5989,,2017-03-04 11:12:45.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.133,opened,2018-09-29 21:50:10.0,443,5989,,2017-03-04 11:12:45.0,44305,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.143,opened,2018-09-29 21:50:10.0,443,5989,,2017-03-04 11:12:45.0,100902,Medium
Microsoft Windows 2000 Terminal Services man-in-the-middle attack,10.506.35.68,opened,2018-09-29 19:59:27.0,1494,,2017-01-07 19:04:42.0,49946,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.69,opened,2018-09-29 18:34:32.0,3389,,2017-01-07 17:32:43.0,8076,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.71,opened,2018-09-29 19:44:53.0,443,5989,,2017-01-21 14:51:45.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.72,opened,2018-09-29 19:44:53.0,443,5989,,2017-01-21 14:51:45.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.73,opened,2018-09-29 19:44:53.0,443,5989,,2017-01-21 14:51:45.0,101808,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.74,opened,2018-09-29 18:57:57.0,443,5989,,2017-01-21 13:52:29.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.75,opened,2018-09-29 18:57:57.0,443,5989,,2017-01-21 13:52:29.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.76,opened,2018-09-29 18:57:57.0,443,5989,,2017-01-21 13:52:29.0,44305,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.82,opened,2018-09-29 19:41:04.0,443,5989,,2017-01-21 14:37:21.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.83,opened,2018-09-29 19:41:04.0,443,5989,,2017-01-21 14:37:21.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.84,opened,2018-09-29 19:41:04.0,443,5989,,2017-01-21 14:37:21.0,100902,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.85,opened,2018-09-29 19:25:22.0,443,5989,,2017-01-21 14:22:47.0,44305,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.86,opened,2018-09-29 19:25:22.0,443,5989,,2017-01-21 14:22:47.0,101808,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.87,opened,2018-09-29 19:25:22.0,443,5989,,2017-01-21 14:22:47.0,100902,Medium
CVE-2018-3620 - Microprocessors - Foreshadow-NG Attack Issue,10.506.35.133,opened,2018-09-29 21:42:06.0,,,2018-09-29 21:42:06.0,217986,Medium
CVE-2018-3615 - Microprocessors - Foreshadow Attack Issue,10.506.35.143,opened,2018-09-29 21:42:06.0,,,2018-09-29 21:42:06.0,218006,Medium
CVE-2017-5753 - Multiple Vendors - Processors - Spectre Issue,10.506.35.68,opened,2018-09-29 21:42:06.0,,,2018-06-30 21:53:59.0,205998,Medium
CVE-2012-2532 - MS12-073 - Microsoft - IIS - Information Disclosure Issue,10.506.35.69,opened,2018-09-29 20:17:48.0,21,,2017-01-07 18:22:34.0,88648,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.71,opened,2018-09-29 20:17:48.0,3389,,2017-01-07 18:22:34.0,8076,Medium
CVE-2017-5753 - Intel - Processors - Spectre Issue,10.506.35.72,opened,2018-09-29 21:42:06.0,,,2018-06-30 21:53:59.0,208998,Medium
CVE-2017-4941 - VMware - Multiple Products - Stack Overflow Issue,10.506.35.73,opened,2018-09-29 21:42:06.0,,,2018-06-30 21:53:59.0,205682,Medium
CVE-2017-4940 - Vmware - Esxi - Medium,10.506.35.74,opened,2018-09-29 21:42:06.0,,,2018-06-30 21:53:59.0,205681,Medium
CVE-2017-5715 - Intel - Processors - Spectre Issue,10.506.35.75,opened,2018-09-29 21:42:06.0,,,2018-06-30 21:53:59.0,206000,Medium
CVE-2018-3646 - Microprocessors - Foreshadow-NG Attack Issue,10.506.35.76,opened,2018-09-29 21:42:06.0,,,2018-09-29 21:42:06.0,217985,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.82,opened,2018-09-29 19:31:35.0,443,5989,,2017-01-21 14:33:08.0,100902,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.83,opened,2018-09-29 19:31:35.0,443,5989,,2017-01-21 14:33:08.0,101808,Medium
RFC 1321 MD5 algorithm weak security,10.506.35.84,opened,2018-09-29 19:31:35.0,443,5989,,2017-01-21 14:33:08.0,44305,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.133,opened,2018-09-29 20:37:04.0,3389,,2017-01-07 19:03:42.0,8076,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.143,opened,2018-09-29 18:35:35.0,443,5989,,2017-01-21 14:53:16.0,101808,Medium
IETF - RFC 3279 X.509 Certificate - MD5 Signature Collision Issue,10.506.35.68,opened,2018-09-29 20:09:34.0,1433,3389,,2017-01-21 13:42:56.0,101808,Medium
CVE-2005-1794 - Microsoft - Windows - Remote Desktop Protocol Server Private Key Disclosure Issue,10.506.35.69,opened,2018-09-29 20:09:34.0,3389,,2017-01-07 19:05:34.0,8076,Medium
CVE-2004-2761 - MD5 - Hash-collision Issue,10.506.35.71,opened,2018-09-29 20:09:34.0,1433,3389,,2017-01-21 13:42:56.0,100902,Medium
CVE-2015-2808 - RC4 Algorithm - Bar Mitzvah Issue,10.506.35.72,opened,2018-09-29 20:09:34.0,5666,8083,,2017-01-07 19:05:34.0,161204,Medium
CVE-2013-2566 - RC4 - Plaintext-Recovery Issue,10.506.35.73,opened,2018-09-29 20:09:34.0,5666,8083,,2017-01-07 19:05:34.0,92441,Medium
